Open,High,Low,Close,Volume,Date
94.48,94.84,93.182,94.16,2461279,2019-07-03
94.88,95.92,94.56,95.6,2838280,2019-07-05
95.96,97.041,95.28,95.44,3144796,2019-07-08
95.84,96.4,95.32700000000001,96.32,1831983,2019-07-09
98.64,100.52,98.4,100.24,4188493,2019-07-10
100.56,101.0,99.84,100.4,2230186,2019-07-11
100.08,100.64,99.52,100.16,1864222,2019-07-12
100.8,100.88,98.32,98.4,2717272,2019-07-15
98.96,99.76,94.88,96.56,4500138,2019-07-16
96.88,96.88,93.92,94.0,3774623,2019-07-17
94.24,94.4,90.96,92.48,4825066,2019-07-18
92.56,93.51899999999999,91.44,93.36,3138532,2019-07-19
92.96,93.677,92.64,93.44,3000223,2019-07-22
93.44,94.56,92.72,94.48,2235122,2019-07-23
94.48,95.6,91.772,92.72,4365505,2019-07-24
93.8,94.16,92.64,92.8,2486520,2019-07-25
93.12,93.68,92.4,93.2,2157044,2019-07-26
94.16,94.72,92.68799999999999,94.56,2837455,2019-07-29
94.72,96.76,94.56,96.64,2717495,2019-07-30
97.2,97.6,96.0,96.32,3487515,2019-07-31
94.96,95.04,88.96,90.48,7204322,2019-08-01
92.68,92.82600000000001,91.52,91.84,4697245,2019-08-02
90.48,92.32,90.32,90.96,5893976,2019-08-05
91.44,91.52,88.72,89.12,3784239,2019-08-06
86.48,87.12,83.92,86.72,6763022,2019-08-07
86.88,87.92,86.32,87.68,2943329,2019-08-08
89.76,91.04,89.6,90.24,3621720,2019-08-09
90.96,91.52,90.08,90.92,2948579,2019-08-12
90.64,95.44,90.48,94.96,5984431,2019-08-13
91.68,92.16,89.84,91.52,5230790,2019-08-14
90.4,91.36,89.76,90.8,3768831,2019-08-15
91.04,91.52,90.24,91.2,2934803,2019-08-16
92.8,93.68,92.0,93.28,3050403,2019-08-19
92.72,93.954,91.76,93.04,3081748,2019-08-20
94.72,94.96,92.4,92.88,3012189,2019-08-21
93.28,93.6,91.28,92.24,2724057,2019-08-22
89.84,91.12,88.6,89.52,4257204,2019-08-23
91.52,91.92,89.12,89.44,3261006,2019-08-26
89.92,91.68,89.36,91.36,3071538,2019-08-27
93.76,94.32,92.4,93.12,3798728,2019-08-28
93.2,94.641,93.16,94.24,2845681,2019-08-29
93.92,94.08,90.8,91.68,3818589,2019-08-30
88.72,90.16,87.92,89.76,3508324,2019-09-03
92.24,94.16,92.15799999999999,93.68,3644308,2019-09-04
94.4,96.08,93.2,93.6,3411113,2019-09-05
91.68,94.8,91.28,94.16,2792520,2019-09-06
95.36,96.8,95.16,96.64,2925376,2019-09-09
